employee_id,Department,JobRole,Gender,Age,Education,BusinessTravel,YearsAtCompany,JobLevel,MonthlyIncome,orientation_completed,training_completion_percent,onboarding_days,onboarding_status,manager_assigned,buddy_assigned,first_week_checkin,onboarding_completion_date,total_tickets,high_priority_tickets,avg_resolution_hours,early_tool_actions,early_unique_tools,early_login_count,early_active_minutes
1,Sales,Sales Executive,Female,41,2,Travel_Rarely,6,2,5993,Yes,82.2,16,Completed,Yes,Yes,Yes,2020-07-08,2.0,0.0,2.5,5,4,39,900
2,Research & Development,Research Scientist,Male,49,1,Travel_Frequently,10,2,5130,Yes,84.9,7,Completed,Yes,Yes,Yes,2016-08-09,0.0,0.0,,3,3,19,583
4,Research & Development,Laboratory Technician,Male,37,2,Travel_Rarely,0,1,2090,No,41.3,17,In Progress,Yes,Yes,No,,3.0,2.0,17.566666666666666,2,2,4,29
5,Research & Development,Research Scientist,Female,33,4,Travel_Frequently,8,1,2909,Yes,84.7,14,Completed,Yes,Yes,Yes,2018-08-03,1.0,0.0,3.5,5,4,49,918
7,Research & Development,Laboratory Technician,Male,27,1,Travel_Rarely,2,1,3468,Yes,91.2,16,Completed,Yes,Yes,Yes,2024-08-15,0.0,0.0,,4,4,59,958
8,Research & Development,Laboratory Technician,Male,32,2,Travel_Frequently,7,1,3068,Yes,94.0,11,Completed,Yes,Yes,Yes,2019-07-03,0.0,0.0,,4,4,43,825
10,Research & Development,Laboratory Technician,Female,59,3,Travel_Rarely,1,1,2670,Yes,85.6,18,Completed,Yes,Yes,Yes,2025-12-25,2.0,0.0,3.75,4,3,38,824
11,Research & Development,Laboratory Technician,Male,30,1,Travel_Rarely,1,1,2693,Yes,83.2,11,Completed,Yes,Yes,Yes,2026-02-11,4.0,2.0,11.524999999999999,2,2,6,64
12,Research & Development,Manufacturing Director,Male,38,3,Travel_Frequently,9,3,9526,Yes,85.6,8,Completed,Yes,Yes,Yes,2017-07-20,0.0,0.0,,4,3,36,613
13,Research & Development,Healthcare Representative,Male,36,3,Travel_Rarely,7,2,5237,Yes,86.7,6,Completed,Yes,Yes,Yes,2019-06-21,1.0,0.0,8.8,6,5,59,1505
14,Research & Development,Laboratory Technician,Male,35,3,Travel_Rarely,5,1,2426,Yes,81.9,18,Completed,Yes,Yes,Yes,2021-07-26,1.0,0.0,2.8,5,5,45,1021
